"DRAFT: Voting Method & Tabulation Universe, V1.0","L. Lochridge - Editor and Working Group Chair, George Gilbert, Chris Hughes - Editor & Legislation Expert,  Herb Deutsch, Celeste Landry","STATUS: DRAFT - Work In Progress Voting Methods and Tabulation Universe, a spreadsheet that contains our 'ground truth' research results for the knowledge and interpretation of the plain language algorithmic definitions of voting methods in use in practice, extracted from authoritative sources (legislation, Election Official (EO) documents), with all links to the original source of legislation, statute, local rules or EO documentation of practice.",,,,,,,,,,,,,
Category,Label,Plain Language,Rules,Jurisdiction,Accountable,Responsible,Link to Authoritative Source Document(s),Scope,Process Associations,Object/Thing Assoc,Artifact,Method,Module,NIST/TGDC/Standard/Spec,Misc. Note
Output,,,,,,,,,,,,,,,
Reports,Reports,"A summarization of one or more CastVoteRecords or an aggregation of CastVoteRecords in the form of CastVoteRecordReports, in the CVR CDF may satisfy the CastVoteRecord  Output requirement",,,,,"1500-103, Draft VVSG2.0",,,,,,,,
Reports,CastVoteRecord ,A vote selection data set represented in the CVR CDF satisfies the CastVoteRecord Output requirement.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reports,Election Results Report,"1500-107 Requires any adopted to implement 1500-100 V2, and at time of writing draft VVSG2.0 is expected to reqiure implementation of this CDF","When a voting method or tabulation method implementation implements election reporting, then it must implement 1500-100 V2, in addition to any other reporting DFs ",,,,"1500-100 V2, 1500-107",,,,,,,,
Reports,Election Night Report,,,,,,1500-100 V1,,,,,,,,
,,,,,,,,,,,,,,,
Reports,Logging & Tracing Report,,,,,,1500-101,,,,,,,,
Reports,Summary Report (RCV),"(a) The “summary report” for a race means a report that lists the candidate vote totals in each round, along with the cumulative numbers of undervotes, overvotes, and exhausted ballots in each round.  (California Secratry of State Rules for Instant Runoff Voting in Charter Counties and Charter Cities)","List candidate vote totals in each round, cumulative number of undervotes, overvotes and exhausted ballots in each round : [NEED TO GET MOST UP TO DATE! .PDF  OF cvr SPEC IS OUT OF DATE! JD WILL SEND LINK TO MOST UP TO DATE VERSION]

SummaryReport => [
Forall CVRR.round [CVRR.summary]  => [[SUM(CVRR.round.undervote)] AND [SUM(CVRR.round.overvote)] AND [SUM(CVRR.round.exhausted)]]]

e.g. informally written logic rule above says that for all rounds in a RCV CVRR, for CVRR.summary to be TRUE its implied that there must be a sum count of each of undervote, overvote and exhausted 

There are other / sub rules that will be implied by each of these rules, some require reference to the CVR CDF for a rule e.g. of this type.

e.g. here is an example of a ballot accounting type of rule that applies to all instantiations for all voting or tabulation methods:
The total sum of vote + overvote + undervote must be <= 
CVRCDF.ContestSelectionLink.TotalNumberVotes",California Charter Cities using RCV,California Charter Cities using RCV,California Charter Cities using RCV,http://votingsystems.cdn.sos.ca.gov/oversight/directives/irv-guidelines.pdf,,,,,,,,
Reports,Ballot Report,"The “ballot report” for a race means a report that lists, for each ballot, the candidate or candidates indicated at each ranking, the precinct of the ballot, and whether the ballot was cast by mail. In the report, the ballots shall be listed in an order that does not permit the order in which they were cast in each precinct to be reconstructed.  (California Secratry of State Rules for Instant Runoff Voting in Charter Counties and Charter Cities)",CVR meets requirement,California Charter Cities using RCV,California Charter Cities using RCV,California Charter Cities using RCV,http://votingsystems.cdn.sos.ca.gov/oversight/directives/irv-guidelines.pdf,,,,,,,,
,,,,,,,,,,,,,,,
Reports,Contest Report,,,,,,,,,,,,,,
Reports,RCV Contest tabulation reports,"The ranked-choice voting tabulation center must print a summary statement, which must include the following information: total votes cast; number of undervotes; number of totally defective and spoiled ballots; threshold calculation; total first choice rankings for all candidates; round-by-round tabulation results, including simultaneous batch eliminations, surplus transfers, and defeated candidate transfers; and exhausted ballots at each round. Minneapolis Charter  ch.167.80(b)","NIST Cast Vote Record Report (CVRR)  in the CVR CDF and NIST Election Results 1500-100 reports can satisfy these requirements.  When the CVR.VotingVariation field is set to a VM.RCV variant then a ""snapshot"" of state of each round of tabulation must be stored in ordered sequence. In the current draft version of the CVR CDF, some use of ""Other"" fields of classes or enumerations, and also the ""Annotations"" element may be used to store additional variant specific information elements that are specific to Ranked Order voting methods variants.",City of Minneapolis,Ranked Choice Voting Tabulation Center,Ranked Choice Voting Tabulation Center,https://drive.google.com/open?id=0B6Xsbk1wDKOoWV82dENvTnQ5Xzg,,,,,,,,
Reports,RCV Election Abstract,"The election abstract must include the information required in the ranked-choice voting tabulation center summary statement, with the addition of the number of registered voters by precinct, the number of same day voter registrations, and the number of absentee voters. Minneapolis Charter  ch.167.80(c)","Official results report must contain information required in the RCV Contest Tabulation Reports with the addition of the number of registered voters by precinct, the number of same day voter registrations, and the number of absentee voters. ",City of Minneapolis,Ranked Choice Voting Tabulation Center,Ranked Choice Voting Tabulation Center,https://drive.google.com/open?id=0B6Xsbk1wDKOoWV82dENvTnQ5Xzg,,,,,,,,
Reports,Comprehensive Summary Report,"(c) The “comprehensive report” for a race means a report that provides the information contained in the summary report by precinct. The report shall list, for each round, the number of ballots cast in each precinct that count as votes for each candidate in that round, that have been declared overvotes up to that point, that have been declared undervotes up to that point, and that have been declared exhausted up to that point.  (California Secratry of State Rules for Instant Runoff Voting in Charter Counties and Charter Cities)",Contains Summary Report information by precinct,California Charter Cities using RCV,California Charter Cities using RCV,California Charter Cities using RCV,http://votingsystems.cdn.sos.ca.gov/oversight/directives/irv-guidelines.pdf,,,,,,,,
,,,,,,,,,,,,,,,
Reports,Summary Results Report,"A summary of election tabulation information, including data on ballot errors and write-in votes","A summary results report, showing overvotes, undervotes, blank-voted contests, and all valid votes including write-in votes",Colorado; Auditing States,,Voting system,8 CFR 1505-1 R25.2.2(d)(1),,,,,,,,
Reports,Results File Export,The results of an election,A results file export suitable for uploading to the Secretary of State’s election night reporting system;,Colorado; Auditing States,,Voting system,8 CFR 1505-1 R25.2.2(d)(2),,,,,,,,
Reports,CVR Export,The set of all digital records of ballots captured by a voting system in the course of an election,A CVR export.,Colorado; Auditing States,,voting system,8 CFR 1505-1 R25.2.2(d)(3),,,,,,,,
Reports,VVPAT (DRE systems),"Voter verified paper audit trail, or the paper record produced by a direct recording electronic unit voting system. ",The director shall provide for a paper record of each electronically generated ballot that can be: 1) reviewed and corrected by the voter at the time the vote is cast; and 2) used for a recount of the votes cast at an election in which electronically generated ballots were used,Alaska; states using DRE,,voting system/director,AK. Stat. 15.15.032 (c),,,,,,,,
Reports,Precinct-level election results reports,Results of an election with totals for each contest option broken out in to the votes they received in each precinct.,"      (c) If the election is:

           (1) A primary election held in an even-numbered year; or

            (2) A general election,
the total votes, other than absentee votes and votes in a mailing precinct, must be accumulated by precinct.
","Nevada, all other states?",,voting system,NRS 293B.130(1)(c),,,,,,,,
Reports,Results Tape,Paper printed out by a voting system displaying the vote totals for each contest option in every race included on ballots cast on that voting system. ,"             (1) Ensure that each mechanical recording device:

                   (I) Provides a record printed on paper of the total number of votes recorded on the device for each candidate and for or against each measure; 

","Nevada, other states? ",,voting system,NRS 293B.330(1)(b)(1),,,,,,,,
Reports,Ballot reconciliation report for Precinct Tabulator,"The total number of ballots cast using a voting system, typically included on a results tape. ",used to reconcile number of ballots counted on each precinct tabulator with number of ballots from poll book ballot reconciliation report.  Must be signed by no less than two precinct election judges. ,"Montana, other states? ",,voting system,MT. SoS Ballot Reconciliation Process and Checklist,,,,,,,,
Election,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Contest,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest,CandidateContest
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest,MeasureContest
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest,PartyContest
,"Plurality : WA Blanket Primary aka 'Top Two', CA certain contest types","""The two ""top"" candidates with the most votes in the primary advance to the general election."" MUST",Configuration: PluralityAdvancementRules should be sufficient,"WA State, CA (restricted only to some contest types), [others]",,,For California: http://leginfo.legislature.ca.gov/faces/codedisplayexpand.xhtml?tocCode=ELEC      For WA:http://apps.leg.wa.gov/rcw/default.aspx?Cite=29A,,,,,,,,
VOTING METHOD RULES,,,VOTING METHOD DECISION RULES & DECISION RULE SETS,,,,,,,,,,,,
PLURALITY RULES,,,,,,,,,,,,,,,
"Determine if elected, plurality, candidates

AKA :  first-past-the-post (FPTP), single-choice voting, simple plurality",Elected,"Single -winner: The candidate with the most votes, after all votes are counted, is elected.

Multi-winner:  The candidates, equal to the number of seats to be filled, with the most votes, after all votes are counted, are elected","Elected: one selection for a candidate is allowed. The decision rule can be executed to determine elected when all votes have been counted.
 The decision rules are: 

Single-winner: The candidate with the largest sum total of votes, compared to all candidates, is elected.

Multi-winner:  The candidates, equal to the number of seats to be filled, with the largest sum of total votes, are elected ",NCGS§ 163-292,,,https://www.ncleg.gov/enactedlegislation/statutes/pdf/bysection/chapter_163/gs_163-292.pdf,,,,,,,,
"Determine if passed, plurality, ballot measures",Passed,"For a ballot measure with Yes or No, For or Against selection options, the option with the most votes, after all ballots are counted, shall prevail.","
Passed: one selection of Yes (Y) or No (N) is allowed. The decision rule can be executed to determine passed when all votes have been counted.
 The decision rule is:

 If sum (Y) > sum (N) then passed -> TRUE

If sum (Y) < sum (N) then passed -> FALSE",NCGS§ 163-182.15(d),,,https://www.ncleg.gov/enactedlegislation/statutes/pdf/bysection/chapter_163/gs_163-182.15.pdf,,,,,,,,
,,,,,,,,,,,,,,,
"Determine if tied, plurality candidates",Tied (candidate contest),"If there are an equal number of votes for the candidates with the highest number of votes, the contest shall be tied. ",The decision rule is: If sum(Y) = sum(N) then tied-> TRUE,Code of Virginia § 24.2-674,,,https://law.lis.virginia.gov/vacode/title24.2/chapter6/section24.2-674/,,,,,,,,
Determine if tied,Tied (ballot measure),"For a ballot measure with Yes or No, For or Against selection options, If there are an equal number of votes for the selection options, the contest shall be tied and not passed","
The decision rule is: If [sum(Y) = sum(N)] then [tied -> TRUE] AND [passed -> FALSE]. 
",,,,,,,,,,,,
"Determine if elected, majority
  ","Elected, by ""majority""","For single winner contests, the majority shall be ascertained by dividing the total votes cast for all candidates by two

For multi-winner contests, the majority shall be ascertained by dividing the total vote cast for all candidates by the number of officers to be filled and by dividing the result by two. Any excess of the sum so ascertained shall be a majority and the candidates who obtain a majority shall be declared elected. If more candidates obtain a majority than there are offices to be filled, those having the highest vote (equal to the number of offices to be filled) shall be declared elected.","Single-winner:  If sum(Cn) > sum(C1.....Cnn)/2 then elected

Multi-winner:  If sum(Cn) > (sum(C1.....Cnn)/#seats)/2 then elected

For the case of Multi-winner:  If more candidates obtain a ""majority"" than there are seats to fill, those having the highest vote (equal to the number of seats to be filled) are elected.
",SECTION 5-15-62 SC Code of Laws,,,"https://www.scstatehouse.gov/code/t05c015.php
",,,,,,,,
"Determine if passed 
",Passed ,Must,"
Passed: one selection of Yes (Y) or No (N) is allowed. The decision rule can be executed to determine passed when all votes have been counted. 
The decision rule is:  If [sum (Y) > sum (N) ] AND [sum(Y) => majorityThreshold] then passed.
",,,,,,,,,,,,
"Determine if tied
 ",Tied (candidate contest),"If there are an equal number of votes for the candidates with the highest number of votes, the contest shall be tied. ",The decision rule is: If sum(Y) = sum(N) then tied.,,,,,,,,,,,,
Determine if tied,Tied (ballot measure),"For a ballot measure with Yes or No, For or Against selection options, If there are an equal number of votes for the selection options, the contest shall be tied and not passed","
The decision rule is: If [sum(Y) = sum(N)] then [tied -> TRUE] AND [passed -> FALSE]. 
",,,,,,,,,,,,
TABULATION RULES,,,TABULATION RULES,,,,,,,,,,,,
AUDIT RULES,,,,,,,,,,,,,,,
,Auditability,"""auditing of ballot cards at multiple points in the tabulation process"" MUST",logic model includes generic feature 'suspension' in tabulation module should be sufficient,City & County of San Francisco,,,,,,,,,,,
,?Reporting?,,,?CO?,,,,,,,,,,,
,other,,,CO,,,,,,,,,,,
MULTI-ROUND TABULATION VARIANTS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RCV RULES,,,,,,,,,,,,,,,
Rounds,Rounds,"Ranked choice voting means a method that allows voters to rank candidates for office in order of preference. Elections conducted by ranked choice voting may be used for both single-winner and multiple-winner elections. Elections conducted by ranked choice voting are tabulated in rounds, as specified in the counting rules. MUST (CA. SB 1288)",tabulated in rounds : If VotingMethod = RCV then TablutionModule=Rounds | designator based on taxomony...,"CA, SB 1288, Berkeley Code ch. 2, § 2.14.010(A), Oakland Charter, art. XI, § 1105(a), Minneapolis Charter, ch. 167.20, Maine Rev. Statutes, 21-A M.R.S.A. § 1(35-A), St. Paul Ordinances, tit. 5, § 31.02, San Leandro Code, tit. 1, § 1-11-300, 54A Mass. Gen. Laws § 1",,,CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec1.html; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Rounds,Rounds.X ,"A set of election methods which allow each voter to rank contest options in order of the voter's preference, in which votes are counted in rounds using a series of runoff tabulations to defeat contest options with the fewest votes, and which elects a winner with a majority of final round votes in a single-winner contest and provides proportional representation in multi-winner contests. MUST",tabulated in rounds. example : If VotingMethod = RCV then TablutionModule=Rounds | designator based on taxomony...,NIST Glossary,,,,,,,,,,,
Rounds,Round,"""Round of counting"" or ""round"" means a step in the counting process during which votes for all continuing candidates are tabulated for the purpose of determining whether a candidate has achieved a majority of the votes cast for a particular office, and, absent a majority, which candidate or candidates must be eliminated MUST  (Berkeley Code ch. 2, § 2.14.010(H))",sum of votes for continuing candidate. Summation based on counting rules,"Berkeley Code ch. 2, § 2.14.010(H), Minneapolis Charter ch. 167.20, Maine Rev. Statutes, 21-A M.R.S.A. § 723-A(1)(J), St Paul Ordinances, tit. 5, § 31.02, San Leandro Code, tit. 1, § 1-11-300; HR 3057 §§ 331(b)(1)–(2), 332(b)(1)–(3), Santa Fe Code 9-1.15(B)(11)",,,Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOoem8yLXAxUm1Hd0k; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; HR 3057: https://www.congress.gov/bill/115th-congress/house-bill/3057/text,,,,,,,,
Round,1st Round Alt A,"each ballot shall be counted for the highest-ranked continuing candidate on that ballot, using a transfer value of one vote. MUST (SB 1288,  22101(a)(1)),  (Applies to single winner (IRV) and multi-winner (STV) contests)",the sum of the votes for the highest ranked candidate on each ballot ,"CA SB 1288,  22101(a)(1), Maine Rev. Statutes, 21-A M.R.S.A. § 723-A(2), Takoma Park Charter, art. VI, § 606(d), ",,,CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Round,1st Round Alt B,"every ballot shall count as a vote towards the first choice candidate.  MUST  (Berkeley Code, tit. 2, 2.14.040(A)), (Applies to single winner (IRV) and multi-winner (STV) contests)",the sum of the number one (1) ranked votes on each ballot,"Berkeley Code, tit. 2, 2.14.040(A), Oakland Charter, art. 11, § 1105(d)(1), St Paul Ordinances, v tit. 5, § 31.05(a), San Leandro Code, tit. 1 § 1-11-320(a), Minneapolis Charter, tit. 8.5, ch. 167.60(b), 167.70(b), c. 54, §9a,b Mass Gen Laws   &   http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z, NCGS163-329(b1)(2), Santa Fe Code 9-1.15(E)(1)",,,Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Print Results Report,Summary Statement,"The ranked-choice voting tabulation center must print a summary statement, which must include the following information: total votes cast; number of undervotes; number of totally defective and spoiled ballots; threshold calculation; total first choice rankings for all candidates; round-by-round tabulation results, including simultaneous batch eliminations, surplus transfers, and defeated candidate transfers; and exhausted ballots at each round.  MUST  (Minneapolis Charter tit. 8.5, ch. 167.80(b))",Report content is configurable.  Must be printed at the end of each round of tabulation,"(Minneapolis Charter tit. 8.5, ch. 167.80(b), SB 1288,  22101(b), c. 54, §9 (m)Mass Gen Laws  (List incomplete)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Determine Threshold,Maximum possible Threshold,"1st Round: Maximum Possible Threshold = ((Total ballots cast that include votes, undervotes, skipped rankings, or overvotes for the office)/(Seats to be elected + 1)) +1, with any fractions  disregarded.  MUST (Minneapolis Charter, tit. 85, ch. 167.20) ","= ((Total ballots cast that include votes, undervotes, skipped rankings, or overvotes for the office)/(Seats to be elected + 1)) +1, with any fractions  disregarded,   (Applies to single winner (IRV) and multi-winner (STV) contests)","Minneapolis Charter, tit. 85, ch. 167.20",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
Determine Threshold,Threshold (Based on 1st round votes),"Subsequent Rounds: Threshold = ((Total votes counted in 1st Round)/(Seats to be elected + 1)) +1, with any fractions disregarded.  MUST (Minneapolis Charter, tit. 85, ch. 167.20) "," Threshold = ((Total votes counted in 1st Round)/(Seats to be elected + 1)) +1, with any fractions disregarded, (Applies to single winner (IRV) and multi-winner (STV) contests)","Minneapolis Charter, tit. 85, ch. 167.20, Cambridge",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA; HR 3057: https://www.congress.gov/bill/115th-congress/house-bill/3057/text,,,,,,,,
Determine Threshold,Threshold (Multi-winner),"the number of votes sufficient for a candidate to be elected in a multi-seat contest. The election  threshold is calculated by dividing the total number of votes line counting for continuing candidate in the first round by the sum of  one plus the number of seats to be filled, or X/(Y+1), in which “X”  is the total number of votes counting for continuing candidates in the first round and “Y” is the number of seats to be filled, rounding line up to four decimal places.","Threshold = ((Total votes counted in the Round)/(Seats to be elected + 1)), round up to 4 decimal places)","California SB 212 24002(c) 
2019",,,"California:                 http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB212&search_keywords=Ranked+choice+voting

",,,,,,,,
Determine Threshold,Threshold (Based on votes in the current round) (single-winner),"a majority of votes from the continuing ballots MUST (San Francisco Charter, art. 13, § 13.102(d)) MUST","Threshold = ((Total votes counted in the Round)/(Seats to be elected + 1)) +1, with any fractions disregarded","Berkeley Code, tit. 2, 2.14.040(B), Oakland Charter, art. 11, §1105(d)(2), Maine Rev. Statutes, 21-A M.R.S.A. § 723-A(2)(A), San Francisco Charter, art. 13, § 13.102(d), Portland Charter, art. II, § 3(c), San Leandro Code, tit. 1, § 1-11-320(b), Takoma Park Charter, § 606(e), HR 3057 § 331(a)(2)(A), Santa Fe Code 9-1.15(B)(7)",,,Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; Portland: https://drive.google.com/open?id=0B6Xsbk1wDKOoV0JUWEtsakFxME0; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA; HR 3057: https://www.congress.gov/bill/115th-congress/house-bill/3057/text,,,,,,,,
,,,,,,,,,,,,,,,
Determine if Elected,Elected,"If a candidate, other than an undeclared write-in candidate*, has a vote total that is equal to or greater than the threshold, that candidate is declared elected and the tabulation is complete. MUST (Minneapolis Charter, 167.60(c)(1)(a))   *Minneapolis Charter only",Elected if sum(votes(candidate))  >= threshold,"Minneapolis Charter, 167.60(c)(1)(a), Berkeley Code, tit. 2, 2.14.040(B), Oakland Charter, art. 11, §1105(d)(2), Maine Rev. Statutes, 21-A M.R.S.A. § 723-A(2)(A), San Francisco Charter, art. 13, § 13.102(d), Portland Charter, art. II, § 3(c), San Leandro Code, tit. 1, § 1-11-320(b), Takoma Park Charter, § 606(e), CA SB 1288,  22101(a)(2), Santa Fe Code 9-1.15(E)(2)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOoNWhEeVJWS1NLSlU; Portland: https://drive.google.com/open?id=0B6Xsbk1wDKOoV0JUWEtsakFxME0; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA; HR 3057: https://www.congress.gov/bill/115th-congress/house-bill/3057/text,,,,,,,,
Determine if Elected,Elected," (First ranked choice tabulation) If the vote total for a candidate, other than an undeclared or a declared write-in candidate, is equal to or greater than the maximum possible threshold, that candidate is declared elected and the tabulation is complete",Candidate marked first choice vote total => Maximum Possible Threshold,"Minneapolis Charter, 167.60(b), 167.70(b)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
Determine if Elected (Top Two Advance),Elected (1st round of Top Two Advance),"If the candidate with the greatest number of firstchoice
votes receives more than fifty percent (50%) of the firstchoice
votes, that candidate wins.",Elected it First choice votes > 50% of vote in first round , NCGS 163-329(b1)(2),,,North Carolina: https://drive.google.com/open?id=0B6Xsbk1wDKOoMkdwYTJQSkxqTzQ,,,,,,,,
,,,,,,,,,,,,,,,
Determine if Elected (Top Two Advance),Elected (2nd round of Top Two Advance),"If no candidate receives that minimum number, the two candidates with the greatest number of firstchoice votes advance to a second round of counting. In this round, each ballot counts as a vote for whichever of the two final candidates is ranked highest by the voter. The candidate with the most votes in the second round wins the election.",2nd Round:  Elected if Most votes for highest ranked of top two in 1st round , NCGS 163-329(b1)(2),,,North Carolina: https://drive.google.com/open?id=0B6Xsbk1wDKOoMkdwYTJQSkxqTzQ,,,,,,,,
Multi winner RCV Contest,Determine if Elected (Step 1),"(c) In the first round, if the number of continuing candidates is less than or equal to the number of offices to be filled, all continuing candidates shall be designated as elected, and the tabulation is complete.
",Elected if Continuing candidates <= seats to fill . Otherwise next round,"CA SB 1288,  22101 (c),(d), (g)(1), c., Mass Gen Laws 54, §9 (c), Minneapolis Charter, tit. 8.5, ch. 167.70(b)",,,CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
